site,season,burned,tsf,ndvi_abs,ndvi_het
CG-029,16_4,prefire,-15,0.291,0.0785
CG-030,16_4,prefire,-15,0.302,0.0701
CG-031,16_4,prefire,-15,0.239,0.0878
CG-033,16_4,prefire,-15,0.255,0.0765
CG-042,16_4,prefire,-15,0.259,0.0901
CG-044,16_4,prefire,-15,0.311,0.0578
CG-045,16_4,prefire,-15,0.2,0.1091
CG-047,16_4,prefire,-15,0.249,0.0765
CG-048,16_4,prefire,-15,0.254,0.0641
CG-056,16_4,prefire,-15,0.202,0.0836
CG-057,16_4,prefire,-15,0.272,0.0992
CG-058,16_4,prefire,-15,0.228,0.1487
CG-059,16_4,prefire,-15,0.335,0.0667
CG-069,16_4,prefire,-15,0.324,0.0964
CG-070,16_4,prefire,-15,0.244,0.1051
CG-071,16_4,prefire,-15,0.293,0.0816
CG-073,16_4,prefire,-15,0.252,0.0833
CG-074,16_4,prefire,-15,0.302,0.0927
CG-075,16_4,prefire,-15,0.287,0.0627
CG-084,16_4,prefire,-15,0.329,0.0649
